0,254,38,23,35
1,22,441,94,70
2,154,52,21,42
2,138,41,25,43
2,90,46,53,59
2,51,23,59,62
2,335,164,50,54
2,23,31,39,53
2,42,0,35,34
2,18,0,29,41
2,0,28,14,35
2,0,0,18,27
2,357,180,46,54
2,373,192,46,54
2,388,208,41,56
2,412,206,31,52
2,482,209,47,39
2,492,185,53,44
2,424,214,43,51
2,440,217,48,56
2,465,223,55,65
2,479,244,51,60
2,498,258,54,63
2,567,182,29,49
2,579,194,47,60
2,570,242,58,66
2,545,297,55,62
2,573,312,49,59
2,572,366,57,66
2,516,341,66,64
2,527,395,32,56
2,610,324,29,48
2,618,269,21,49
2,625,416,14,33
