2,319,281,22,18
2,120,137,23,19
2,125,144,25,20
2,139,153,24,23
2,146,163,25,22
2,149,180,30,27
2,161,194,27,23
2,166,201,30,25
2,174,208,28,24
2,179,217,23,20
2,186,229,27,22
2,191,236,28,23
2,107,180,22,22
2,90,181,21,27
2,44,201,22,24
2,0,254,19,12
2,0,243,8,9
2,0,262,26,22
2,5,277,24,14
2,12,284,25,17
2,39,222,26,21
2,49,236,26,22
2,62,247,22,21
2,73,225,29,27
2,86,240,24,21
2,94,242,28,26
2,100,253,26,24
2,111,260,23,19
2,111,269,27,19
1,342,0,22,18
1,318,103,26,44
1,283,355,32,57
1,269,424,33,58
