0,175,159,17,23
0,120,213,21,22
0,192,229,22,18
0,233,248,12,23
0,245,258,27,21
0,187,273,23,20
0,169,276,17,18
0,158,280,14,19
0,107,345,16,15
0,131,351,17,21
0,181,378,13,14
0,169,390,13,19
0,160,396,11,17
0,148,393,9,16
0,197,421,21,16
0,123,415,20,16
0,91,410,22,20
0,56,425,15,22
0,74,436,16,28
0,120,468,18,13
0,74,476,17,26
0,488,357,27,21
0,563,344,16,17
0,585,345,20,18
0,563,386,22,26
0,596,423,20,24
0,629,427,11,20
0,612,475,9,19
0,619,482,11,16
0,591,435,12,12
0,604,446,14,9
0,509,474,14,18
0,527,492,14,17
