1,36,362,40,65
1,140,352,37,64
1,261,349,34,51
1,305,337,45,58
1,368,340,29,42
1,473,325,41,55
1,523,318,40,58
1,304,398,41,61
1,230,411,38,55
2,564,228,30,15
2,420,244,30,20
2,346,241,22,31
2,370,220,21,29
2,361,222,17,27
2,349,218,17,27
2,354,203,15,25
2,365,198,20,24
2,374,170,13,24
2,357,189,10,17
2,365,168,11,23
2,359,170,8,21
2,339,165,16,27
2,345,192,13,22
2,328,172,12,21
2,325,192,21,26
2,313,174,13,24
2,300,171,16,27
2,280,206,20,28
2,248,228,21,30
2,225,232,25,26
2,62,232,23,27
2,48,234,24,31
2,22,237,17,26
2,7,215,11,25
2,8,252,12,27
2,0,227,6,17
2,0,247,10,22
2,0,263,7,21
