1,501,285,54,73
1,450,308,55,71
1,338,346,51,70
1,282,368,56,70
1,224,382,56,73
1,106,438,56,72
1,0,472,38,38
1,226,491,34,19
1,299,453,56,57
2,131,206,29,32
2,145,230,29,33
2,149,202,22,29
2,169,220,31,35
2,165,197,21,26
2,180,204,15,19
2,193,178,28,35
2,283,215,25,31
2,360,194,30,25
2,403,170,39,28
2,503,127,39,33
2,273,182,24,31
2,297,176,28,32
2,288,182,21,31
2,274,163,20,27
2,282,143,26,27
2,237,146,23,27
2,256,136,19,27
2,271,131,11,27
2,200,125,24,31
2,229,117,21,30
2,241,103,23,32
2,259,104,21,29
2,268,100,19,28
2,279,99,19,28
