1,36,205,23,30
1,131,197,26,33
1,0,330,20,37
1,160,198,22,30
1,137,178,19,22
1,174,175,20,24
1,207,169,17,24
1,210,197,20,28
1,257,194,22,27
1,305,166,24,28
1,304,190,21,25
1,342,164,20,24
1,375,160,20,28
1,503,145,27,34
1,609,164,28,36
1,125,280,20,33
1,177,279,20,33
1,253,276,23,34
1,482,265,26,35
1,556,260,32,37
3,40,247,35,76
2,135,115,7,12
2,85,106,8,8
2,111,115,6,17
2,242,110,10,12
2,140,117,13,15
2,253,114,12,18
2,263,107,8,11
2,288,101,13,21
2,275,110,9,10
2,309,94,12,23
2,318,98,11,17
2,333,96,20,19
2,324,106,16,24
2,348,112,9,13
